Image,Brand,Name,SKU,Price
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E36 | 3C) SEDAN | 1990 - 1998 | 4 Portas | Frente | Aplicação Interior | 2 pcs,05501a,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E36 | 3/C) SW | 1995 - 1999 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05501b,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E30) SEDAN | 1983 - 1991 | 4 Portas | Frente | Aplicação Interior | 2 pcs,05502a,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E30) SW | 1987 - 1994 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05502b,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 5  (E34) SEDAN | 1987 - 1996 | 4/5 Portas | Frente | Aplicação Interior | 2 pcs,05503a,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 5  (E34) SW | 1991 - 1996 | 4/5 Portas | Frente | Aplicação Interior | 2 pcs,05503b,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 5  (E39 | 5D) SEDAN | 1995 - 2003 | 4 Portas | Frente | Aplicação Interior | 2 pcs,05504a,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 5  (E39 | 5D) SW | 1997 - 2003 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05504b,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E36 3/CG) COMPACT | 1993 - 2000 | 2 Portas | Frente | Aplicação Interior | 2 pcs,05505,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E46/4 | 346X) SEDAN | 1998 - 2005 | 4 Portas | Frente | Aplicação Interior | 2 pcs,05506a,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E46/3 | 346L) SW | 1999 - 2005 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05506b,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E46 | 346K) COMPACT | 2001 - 2004 | 2 Portas | Frente | Aplicação Interior | 2 pcs,05507,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X3 (X83) SUV | 2003 - 2010 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05508,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 5  (E60 | 560L) SEDAN | SW | 2003 - 2010 | 4/5 Portas | Frente | Aplicação Interior | 2 pcs,05509,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E90 | 390l | 3L) SEDAN | 2005 - 2011 | 4 Portas | Frente | Aplicação Interior | 2 pcs,05510a,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (E91 | 391T | 3K) SW | 2005 - 2012 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05510b,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 1  (187/E87) HATCH | 2004 - 2011 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05511,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X1 (X84 | X1 | E84) SUV | 2009 - 2015 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05512,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X3 (F25) SUV | 2010 - 2017 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05513,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Mini Countryman  (UKL/X - R60) MPV | SUV | 2010 - 2017 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05514,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X5 (X53) SUV | 1999 - 2006 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05515,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Mini (UKL-L/F56) HATCH | 2014 -  | 5 Portas | Frente | Aplicação Interior | 2 pcs,05516,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Mini Countryman II (F60) MPV | SUV | 2017 -  | 5 Portas | Frente | Aplicação Interior | 2 pcs,05517,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 1  (F20) HATCH | 2012 -  | 5 Portas | Frente | Aplicação Interior | 2 pcs,05518,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X5 (X70 / X5 / F15) SUV | 2007 - 2013 | 2013 - 2018 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05519,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X5 (X70 / X5 / F16) SUV | 2007 - 2013 | 2013 - 2018 | 5 Portas | Frente e Retaguarda | Aplicação Interior | 4 pcs,05519FR,31.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X5 (X70 / X5 / F17) SUV | 2007 - 2013 | 2013 - 2018 | 5 Portas | Retaguarda | Aplicação Interior | 2 pcs,05519R,18.5
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 2 Active Tourer (UKL-L/F45) HATCH | 2014 - 2021 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05520,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (F30 | F31) SEDAN | SW | 2012 - 2019 | 4/5 Portas | Frente | Aplicação Interior | 2 pcs,05522,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 5  (5L/F10 | 5K/F11) SEDAN | SW | 2010 - 2017 | 4/5 Portas | Frente | Aplicação Interior | 2 pcs,05524,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW X6 (E71 / F16) SUV | 2008 - 2019 | 5 Portas | Frente | Aplicação Interior | 2 pcs,05525,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 1  (F40) HATCH | 2020 - | 5 Portas | Frente | Aplicação Interior | 2 pcs,05526,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 1  (F40) HATCH | 2020 - | 5 Portas | Frente e Retaguarda | Aplicação Interior | 4 pcs,05526FR,31.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 1  (F40) HATCH | 2020 - | 5 Portas | Retaguarda | Aplicação Interior | 2 pcs,05526R,18.5
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (G20) SEDAN | SW | 2019 - | 5 Portas | Frente | Aplicação Interior | 2 pcs,05527,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (G20) SW | 2019 - | 5 Portas | Frente e Retaguarda | Aplicação Interior | 4 pcs,05527FR,31.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 3  (G20) SW | 2019 - | 5 Portas | Retaguarda | Aplicação Interior | 2 pcs,05527R,18.5
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 2 Active Tourer (U06) HATCH | 2021 - | 5 Portas | Frente | Aplicação Interior | 2 pcs,05528,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 2 Active Tourer (U06) HATCH | 2021 - | 5 Portas | Frente e Retaguarda | Aplicação Interior | 4 pcs,05528FR,31.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,BMW,BMW Serie 2 Active Tourer (U06) HATCH | 2021 - | 5 Portas | Retaguarda | Aplicação Interior | 2 pcs,05528R,18.5
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,CITROËN,CITROËN AX (ZA | ZALH/ZALJ) HATCH | 1988 - 1998 | 3 Portas | Frente | Aplicação Interior | 2 pcs,06001,18.5
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,CITROËN,CITROËN AX (ZA | ZALH/ZALJ) HATCH | 1988 - 1998 | 5 Portas | Frente | Aplicação Interior | 2 pcs,06002,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,CITROËN,CITROËN BX (XB) SEDAN | 1982 - 1993 | 4 Portas | Frente | Aplicação Interior | 2 pcs,06003a,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,CITROËN,CITROËN BX BREAK (XB) SW | 1982 - 1994 | 5 Portas | Frente | Aplicação Interior | 2 pcs,06003b,21.0
https://cdn.shopify.com/s/files/1/0914/4015/2907/files/1800.jpg?v=1743697763,CITROËN,CITROËN CX (MA-K | MA-P) SEDAN | 1974 - 1991 | 4 Portas | Frente | Aplicação Interior | 2 pcs,06004a,21.0
